"Room","Title","Description","Singers (one line)","YoutubeID"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | കണ്ണീര് പെയ്യുന്നു | Islamic Song","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | കണ്ണീര് പെയ്യുന്നു | സോളിഡാരിറ്റി | കേൾക്കാം ഇസ്‌ലാമിക ഗാനങ്ങൾ | ആൽബങ്ങൾ | 1. ഒരുമിക്കാം ഒത്തുകളിക്കാം.. ബാലോത്സവ ഗാനങ്ങള്‍ | 2. യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | 3. അബതാഹ്‌ | 4. മിഴിപ്പൂക്കൾ | 5. ഹിജാസ് | 6. ഹിറാ ഗാനങ്ങൾ | 7. കുട്ടികള്‍ക്കുള്ള അല്ലാഹുവിന്റെ പാഠങ്ങള്‍ | 8 ആദം - കുട്ടികള്‍ക്കായുള്ള അറിവിന്റെ പാട്ടുകള്‍ | 9. വിദ്യാര്‍ഥികളുടെ പടയും പാട്ടും","Not credited","goxWeXOeivI"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | നീതികെട്ട | Islamic Song","നീതികെട്ട | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","T5x-CBk_bQA"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | നീതിയെ കുഴിമൂടി | Islamic Song","നീതിയെ കുഴിമൂടി | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","m-rUqq0SQWY"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | പൊരുതിടാനൊരു | Islamic Song","പൊരുതിടാനൊരു | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","uXRvlF4Er8Q"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | യുവതക്കുണ്ടൊരു ദൗത്യം | Islamic Song","യുവതക്കുണ്ടൊരു ദൗത്യം | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","vWt4NvKCKfU"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സാമ്രാജ്യത്ത്വ കഴുകന്‍മാര്‍ | Islamic Song","സാമ്രാജ്യത്ത്വ കഴുകന്‍മാര്‍ | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","PLuSA9c_IQs"
"Solidarity Youth Movement","യുവഹൃദയതാളം  | Zia Ul Haq | Faheed Ali | Ameen Karakkunnu | SanDy #YuvaHridayaThalam","യുവഹൃദയതാളം | Voice:  Zia Ul Haq | Lyrics : Ameen Karakkunnu | Music : Faheed Ali | Programming and mix : SanDy | Studio :  Blac n Bron | Design : Muhammed Shafaque, Hannad Hadi | Art & Concept : Faheem PT | Video : Saeed Kodungallur | Creative Team : Faris OK, Aslam Ali | Creative Support  :  Amjad Ali EM, Afeef Hameed | Promo Shoot :  Syed Fahri, Mashhood Kp | മണ്ണിൽ നിന്നോരോ വിത്തു പോലെ | മന്നാന്റെ കാവൽ ചില്ല നീളെ","Zia Ul Haq","1yAA7a2CKmg"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 1 ഈ നീലമാനത്തിൽ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","ZxE6Mk-hHsY"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 2 പുതിയൊരു വിപ്ലവ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","Bq2kn-FsyAU"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 3 പടനിലങ്ങൾ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","aaJYhnp2dBQ"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 4 കണ്ണുനീരിൻ കാലം","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","bWIT3Cvzkbs"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 5 വർഗ്ഗപ്പേരിൽ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","zk-UgdD7nkE"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 6 ആദം നബിമുതൽ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","UMntHPBPcSs"
"Solidarity Youth Movement","വിപ്ലവമുദ്ര Solidarity song 8 മാറ്റുവിൻ","വിപ്ലവമുദ്ര സോളിഡാരിറ്റി ഗാനങ്ങൾ | രചന/ജമീൽ അഹമ്മദ്,ടി. കെ അലി | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ,ഹിക്മത്തുല്ല,അമീൻ യാസിർ | -Video Upload powered by https://www.TunesToTube.com","Not credited","-QMDJLwpxPI"
"Solidarity Youth Movement","സോളിഡാരിറ്റി കണ്ണൂർ ബഹുഭാഷ കാർണിവൽ  തമിഴ് ഗാനം | കവിൻ മലർ #Song #tamil # solidarity","സോളിഡാരിറ്റി കണ്ണൂർ ബഹുഭാഷ കാർണിവൽ | തമിഴ് ഗാനം | കവിൻ മലർ","Not credited","qt4L4DO8ysQ"
"Jamaat-e-Islami Hind Kerala","A group song by Hanna and her team in JIH kerala women conference at safa nagar kuttipuram","A group song by Hanna and her team in JIH kerala women conference at safa nagar kuttipuram","Not credited","VhOcav4GsRY"
"Jamaat-e-Islami Hind Kerala","A group song by sidarathul munthaha and her team in JIH kerala women conference","A group song by sidarathul munthaha and her team in JIH kerala women conference","Not credited","1jRm3oXbUQ4"
"Jamaat-e-Islami Hind Kerala","A Song by Sidarathul Munthaha in JIH kerala Women Conference at safa nagar","A Song by Sidarathul Munthaha in JIH kerala Women Conference at safa nagar, Kuttipuram.","Not credited","Syn95cxsbLQ"
"Jamaat-e-Islami Hind Kerala","Jih kerala song Name of Leaders","കേരള ജമാഅത്തെ ഇസ്‌ലാമി നേതാക്കളുടെ  പേരുകൾ  കോർത്തിണക്കിയ ഒരു ഗാനം ആദ്യത്തേത് ആയിരിക്കും.👍🏻👍🏻👍🏻 😍 | രചന  റഹ്മാൻ മുന്നൂര് | ആലാപനം നൗഫൽ കുറ്റിക്കാട്ടൂർ","Not credited","Gaa9l0ggn1s"
"Jamaat-e-Islami Hind Kerala","JIH malappuram jilla sammelana gaanam","Ameen yasir and team","Not credited","UIXq25LFFgE"
"Jamaat-e-Islami Hind Kerala","Jih song malappuram DT conference Kottakal 2017","ഹഖായ നാഥന്‍റെ വഴിയില്... | നല്ല ഐക്യത്തില്‍ ഒരുമിച്ച് നമ്മള് ... | ഇസ്ലാമില്‍ സേവനം ചെയ്യ്ണ്... | ഏറ്റം ഇസ്സത്തിലീ കേരളത്തില്... | പല വീട്ടിലാണ് പിറന്നത്.... | പല മട്ടിലാണ് വളര്‍ന്നത്... | എന്നാലും ഒന്നാണ് നമ്മള്... | നല്ല ഇമ്പത്തിലീ കുടുംബത്തില്...🎼 | ജമാഅത്തെ ഇസ്‌ലാമി മലപ്പുറം | ജില്ലാ സമ്മേളനം | ഫെബ്രുവരി 11 ശനി | പുത്തൂര്‍, കോട്ടക്കല്‍","Not credited","5yUhsZrDlps"
"Jamaat-e-Islami Hind Kerala","Jih song ഇസ്ലാമിക പ്രസ്ഥാനത്തിന്റെ നാൾ വഴികളിലൂടെ hakkaya Nadante islamic song","ഹഖായ നാഥന്‍റെ വഴിയില്... | നല്ല ഐക്യത്തില്‍ ഒരുമിച്ച് നമ്മള് ... | ഇസ്ലാമില്‍ സേവനം ചെയ്യ്ണ്... | ഏറ്റം ഇസ്സത്തിലീ കേരളത്തില്... | പല വീട്ടിലാണ് പിറന്നത്.... | പല മട്ടിലാണ് വളര്‍ന്നത്... | എന്നാലും ഒന്നാണ് നമ്മള്... | നല്ല ഇമ്പത്തിലീ കുടുംബത്തില്...🎼","Not credited","Y3t0fM2Z8eo"
"Jamaat-e-Islami Hind Kerala","prashanthipokum jih District conference song","-Video Upload powered by https://www.TunesToTube.com","Not credited","QnaiEI5oqVw"
"Jamaat-e-Islami Hind Kerala","ഇസ് ലാം സന്തുലിതം (ഗാനം )","ഇസ് ലാം സന്തുലിതം (ഗാനം )","Not credited","inT7BDYma38"
"Jamaat-e-Islami Hind Kerala","ഇസ്ലാം സന്തുലിതം | Jih Kerala song ""ഇസ്‌ലാംസന്തുലിതമാണ്""","ഇസ്ലാം സന്തുലിതം | JIH Kerala | Jamaath islami District conference","Not credited","HftR4X8pSxI"
"Jamaat-e-Islami Hind Kerala","ഇസ്ലാം സന്തുലിതം | JIH Song | malappuram district conference","വരികൾ : ഡോ.അജ്മൽ മമ്പാട് | സംഗീതം : അമീൻ യാസിർ | ആലാപനം: അമീൻ യാസിർ & ടീം | ജമാഅത്തെ ഇസ്‌ലാമി മലപ്പുറം | ജില്ലാ സമ്മേളനം | Song | ഫെബ്രുവരി 11 ശനി | പുത്തൂര്‍, കോട്ടക്കല്‍","അമീൻ യാസിർ & ടീം","wfdb0i_0-Zs"
"Jamaat-e-Islami Hind Kerala","താരഗണങ്ങൾക്കപ്പുറം പോരാട്ടവീറിന്റെ പെണ്ണിടം | Lyric Video Song | GIO Kerala | Sidhrathul Munthaha","താരഗണങ്ങൾക്കപ്പുറം പോരാട്ടവീറിന്റെ പെണ്ണിടം | ജി.ഐ.ഒ കേരള പുറത്തിറക്കിയ ഗാനം | Music Video By GIO Kerala | Lyrics : Ameen Karakkunnu | Music : Muhsin Kurikkal | Singer : Dr. Sidhrathul Munthaha | GIO was established on March 5 1984. It functions under the supervision of JIH. Gio releases the potential of womenfolk in moulding the society's future. And also intends to uplift the girls and enhance their power of action and reaction. | GIO releases that it is from the girls themselves that the voices for safety and security should wise. | Being a group that works among girls GIO has to make its member realize their space in their families as well as society. Girls should have the courage to shoulder the responsibility of handing over the message of truth to the posterities.","Dr. Sidhrathul Munthaha","BiLtFHcg6Ys"
"Jamaat-e-Islami Hind Kerala","പ്രശാന്തി പൂക്കും മധുമലര്‍... (ഗാനം)","പ്രശാന്തി പൂക്കും മധുമലര്‍... (ഗാനം)","Not credited","W-Yu8VgPduY"
"Jamaat-e-Islami Hind Kerala","സൗഹൃദ കേരളം പെൺകൂട്ടായ്മ | Theme Song | Sidrathul Munthaha | JIH Womens Wing Kerala","സൗഹൃദ കേരളം പെൺകൂട്ടായ്മ | Theme Song | Sidrathul Munthaha | JIH Womens Wing Kerala | Lyrics : @zainabchavakkad3171 | Vocal and Composing : @SidrathulMunthaha | Music Production: Bayanuzzaman (Brook Studios) | Mixing & Mastering: Bayanuzzaman | Recording : Melodia Pro Studio | Video: Badeeuzaman | Creative support: D4Media","Not credited","s6Jmc0uo5rM"
"Jamaat-e-Islami Hind Kerala","ഹഖായ നാഥന്റെ വഴിയില്‍..  (ഗാനം) / റഹ് മാന്‍ മുന്നൂര്‌","ഹഖായ നാഥന്റെ വഴിയില്‍..  (ഗാനം) / റഹ് മാന്‍ മുന്നൂര്‌","Not credited","rLTI6Fx9OU4"
"D4 Media","1 ആണായൊരു കുഞ്ഞന്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ | ആവിഷ്‌കാരം:എസ്.ഐ.ഒ സംവേദന വേദി","Not credited","mnZpb9kxhHY"
"D4 Media","1- ഇനി മിഴിതുറക്കുന്നു നമ്മള്‍","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","Wtd6GejGgqY"
"D4 Media","10 ജനമൊഴിയാന്‍ അവര്‍ തിരക്കി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oOtLschNNcs"
"D4 Media","11 ആസിയാ ബീവിക്കു ആശ്വാസമായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","xVdoOz_WpK8"
"D4 Media","12 ഇറങ്ങി മിസിറെങ്ങും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","8kLbo9NK3Xk"
"D4 Media","13 ഘാതകനാരാണെന്നും അറിഞ്ഞുപോയ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oOFRLJdXOus"
"D4 Media","14 എന്തെന്നില്ലാത്ത പേടി കടന്നത്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","UWJGXzb6520"
"D4 Media","15 പൊന്നതിതിയാമിയാല്‍ വിശ്വസ്തനാണ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","TPkKai9EA_I"
"D4 Media","16 അധിഭയമാല്‍ വദനവും വാടി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","aMcaSF85dR4"
"D4 Media","17 വിവരമറിഞ്ഞിടുന്നതിനായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","x7N1NhsSAeY"
"D4 Media","18 അടുത്തപ്പോള്‍ നിലത്തല്ല തീ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","BLSyM_4kFpA"
"D4 Media","2 ശരണം മഹാരാജാവേ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","ZTc-6S3eB68"
"D4 Media","2- നന്മപൂക്കും","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","IYLGc748nhI"
"D4 Media","20 നിങ്ങള്‍ക്കിടയിന്ന് നിയോഗിതരാ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","oMgkQMHVInQ"
"D4 Media","21 ശൂരരായി മൂസയും ഹാറൂനും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","mx1Tl2hbK4U"
"D4 Media","22 അതിന്‍ ശേഷം ഇലാഹെന്നെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","nebprLsBJtw"
"D4 Media","23 കാട്ടിയ കയ്യും വടിയും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","Jq1W_a66Gkk"
"D4 Media","24 നെടും മൈതാനം എങ്ങും","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","MmjFyMtYWRA"
"D4 Media","25 വടിയ്യിടാനുടയവന്‍ അരുള്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","bb1UU2vVQSI"
"D4 Media","26 ആസിയ ബീവിയും സംഗതി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","ALonFgXWsEA"
"D4 Media","27 ജീവന്‍ ചതഞ്ഞു പിടഞ്ഞു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","RAgyYt9bFTc"
"D4 Media","28 നാടിന്റെ താളം പിഴക്ക്ണ്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","4ceeEAU3p7U"
"D4 Media","29 സത്യവിശ്വാസിയായൊരാള്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","qPYLZcM2jCQ"
"D4 Media","3 ഫറോവ ലോകനാഥനെ മറന്നു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","XNDL4A_tLzY"
"D4 Media","3- ഒരു മനുഷ്യായുസ്സ്","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","KB9zD-2Ljlw"
"D4 Media","30 മൂസാ നമുക്കൊരു","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","WDRIUdKTwXw"
"D4 Media","31 ധിക്കാരി ഫിര്‍ഔനവന്റെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","fabq9ht1NGI"
"D4 Media","32 എണ്ണിത്തന്നിട്ടുള്ളവയഞ്ചില്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","7jntUq6ZLFY"
"D4 Media","33 ഇസ്‌റായേല്‍ സന്താനമേറെനാളായി","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","BFDfk-QEkfY"
"D4 Media","4 ആലമതില്‍തന്നെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","VxyQK4ZYXR4"
"D4 Media","4- കടലുണങ്ങും","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","_Urzz4-ywnA"
"D4 Media","5 പൊറുതികെടരുത്","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","WlxOrT757Aw"
"D4 Media","5- ജയിച്ചിടുന്നിതു","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","4v0v26ZP2xM"
"D4 Media","6 യുകബതിന്നു രാജകല്‍പ്പന","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","Pwj8_5ouAwA"
"D4 Media","6- താമരപ്പൂവതിന്‍","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","n3OZVHcl0oo"
"D4 Media","7 കാണുവാനാളുകള്‍ വന്നാനെ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","gyQvxvgF5ns"
"D4 Media","7- നിലാവ് മൊഴിഞ്ഞു","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","4BU-RmNL7QE"
"D4 Media","8 കുട്ടിയെ നീരിലൊഴുക്കിയ","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","kR7ltKAwtG0"
"D4 Media","8- ആരോമലേ","മിഴി തുറക്കുന്നു (ഗാനങ്ങള്‍) | പാട്ടെഴുത്ത്: | 1- ജമീല്‍ അഹ്മദ് | 2- അമീന്‍ കാരക്കുന്ന് | 3- റഹ്മാന്‍ മുന്നൂര് | 4- ഹിക്മത്തുല്ല | 5- ടി.ഉബൈദ് | 6- യു.കെ അബുസഹ്‌ല | 7- ഫൈസല്‍ കൊച്ചി | 8- സൈനബ് ഉമ്മു സാബിത് | സംഗീതം: അമീന്‍ യാസിര്‍ | ആലാപനം: | ശാന്തി 1, 8 | സുരേഷ് ചെറുകോട് 2","Not credited","362UYDDSvro"
"D4 Media","9 യുവതി പറഞ്ഞ വിവരത്തില്‍","മൂസാ നബിയും ഫിര്‍ഔനും | രചന:യു.കെ അബൂസഹ്‌ല | സംഗീതം:ചാന്ദ്പാഷ","Not credited","8JtFWRoUtB0"
"D4 Media","Aattal Nabiyod | Hira Ganangal | D4media","Aattal Nabiyod | Hira Ganangal | D4media | ആറ്റൽ നബിയോട് | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","EcD-ZGx1DCo"
"D4 Media","Cheruppam Thotte | Hijaz | D4media","Cheruppam Thotte | Hijaz | Music: Chand Pasha | Singers: Shareef Cochin, Shahanas, Jamal Pasha | ചെറുപ്പം തൊട്ടേ | ഹിജാസ് | സംഗീതം:ചാന്ദ് പാഷ | ആലാപനം: ശരീഫ് കൊച്ചിൻ, ഷഹനാസ്, ജമാൽ പാഷ | © D4media","Shareef Cochin, Shahanas, Jamal Pasha","z3r6STkzn1A"
"D4 Media","Chudu Manalkattil | Hira Ganangal | D4media","Chudu Manalkattil | Hira Ganangal | D4media | ചുടു മണൽക്കാട്ടിൽ | ഹിറാ ഗാനങ്ങൾ | ഡിഫോർ മീഡിയ","Not credited","-XXnE6XePF0"
